Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
17	7351889	7354944	1	KCTD11
HSCHR6_MHC_QBL_CTG1	1439551	1468529	-1	TRIM26
3	184335926	184348421	1	FAM131A
17	7913339	7916289	-1	RNF227
16	31393335	31426505	1	ITGAD
17	58166982	58171411	1	OR4D2
5	179862058	179907911	-1	TBC1D9B
17	80824170	80826900	-1	
6	158970084	159000202	-1	RSPH3
17	80976454	80976948	1	RPL12P37
17	80991598	81009517	1	CHMP6
6	108984309	109095074	-1	SESN1
4	145098248	145129524	1	ABCE1
11	36483769	36510292	-1	TRAF6
2	162120177	162173223	1	
1	168784012	168792886	1	LINC00626
2	226794675	226813741	1	
1	168898136	168898439	1	SUMO1P2
17	81003335	81005132	1	
1	168898633	168902836	1	
17	81023545	81025503	-1	
16	31402565	31404699	1	
16	31449535	31453493	-1	
17	81125276	81125373	-1	MIR657
17	81125877	81125955	1	MIR3065
17	81125883	81125949	-1	MIR338
16	31470204	31472108	-1	
17	81133196	81133308	-1	MIR1250
17	959034	959366	1	
16	31487370	31488492	-1	
17	1022476	1022559	-1	MIR3183
17	1101007	1101273	-1	Metazoa_SRP
16	31546698	31547237	-1	
17	1155966	1156175	1	
16	31546805	31547737	1	VN1R64P
17	1270444	1271815	1	BHLHA9
16	31554105	31554912	1	VN1R65P
1	65792514	66374579	1	PDE4B
17	1279662	1300978	1	TRARG1
2	238987420	239003306	-1	
16	31566360	31567000	-1	
2	111429312	111699033	-1	
11	119355215	119381711	-1	USP2
16	31601593	31603531	-1	KRBOX5P1
2	226791792	226793505	1	
16	31648307	31649222	1	VN1R66P
2	162490274	162497127	1	
16	29913144	29915337	-1	
2	111491272	111570974	1	SOCAR
17	1352070	1352255	1	
17	1424473	1426484	1	CRK-AS1
17	56803841	56804269	-1	
X	10156943	10237660	1	CLCN4
2	120976952	120978797	-1	
17	56836387	56914080	-1	TRIM25
2	111410417	111441239	1	
16	30064164	30070457	1	ALDOA
2	32678778	32707313	-1	
2	111265272	111286892	1	
2	120371859	120372777	1	
2	217957375	217970267	1	
2	32624761	32628113	-1	
2	111617637	111634179	-1	
2	217978372	217993776	1	TNS1-AS1
HSCHR6_MHC_QBL_CTG1	4466427	4470930	1	RPS18
2	191736013	191741996	-1	
2	32724789	32726928	-1	
2	111177135	111185821	1	
2	218007001	218008973	1	
2	191695672	191701139	-1	
2	238761182	238762264	1	
2	111467016	111472724	1	
2	150787184	150806973	1	
2	48923360	48938705	-1	
2	111607756	111612541	1	
3	165772904	165837462	-1	BCHE
2	3957652	3974124	-1	LINC01304
6	146543825	146554964	1	RAB32
12	101393116	101407772	-1	ARL1
6	132680849	132719962	-1	VNN1
2	111288511	111291564	1	
2	107823063	107826891	-1	RGPD4-AS1
6	13786557	13814696	-1	MCUR1
9	127447422	127451446	-1	RPL12
2	191792788	191820258	1	
17	82576616	82577391	-1	
17	82578023	82578616	1	
17	82648849	82650657	1	
HSCHR6_MHC_QBL_CTG1	438893	440164	1	OR2J2
17	82668233	82668307	-1	MIR4525
17	82729164	82734143	-1	
17	82745068	82745709	1	
2	111656436	111659483	-1	
17	82829434	82840022	-1	ZNF750
2	26679110	26693037	-1	
HSCHR6_MHC_QBL_CTG1	3047437	3051780	-1	VARS1
2	170718282	170728307	1	
2	111450707	111452286	1	
2	203574607	203582414	-1	
2	170804259	170811255	1	
2	111534097	111535141	1	
2	203579871	203580176	1	
3	38165089	38255484	1	OXSR1
14	105525996	105530205	1	TMEM121
2	154435853	154457731	-1	GALNT13-AS1
18	32091871	32131561	1	RNF138
2	105333935	105337509	-1	C2orf49-DT
17	82918282	82918785	1	
17	83079609	83095122	1	METRNL
2	138058118	138060416	-1	
2	72147315	72149918	1	
HSCHR6_MHC_QBL_CTG1	2798160	2798994	1	DDX39B-AS1
2	86195148	86196644	1	
2	110353799	110384528	-1	LINC01106
HSCHR6_MHC_QBL_CTG1	937893	946603	-1	ZFP57
14	22773222	22829820	-1	SLC7A7
12	7089587	7109245	-1	C1RL
11	36269284	36289449	-1	COMMD9
2	81461354	81467468	-1	LINC01815
6	38168451	38640172	-1	BTBD9
HSCHR6_MHC_QBL_CTG1	2995810	3017580	1	MSH5
2	10010241	10024514	1	
17	83098377	83098987	1	
17	83104255	83106910	1	
7	3301252	4269000	1	SDK1
17	50094065	50094647	1	
17	50235845	50236129	1	SUMO2P7
17	50362967	50365232	-1	
17	50386145	50386246	-1	Y_RNA
17	62231470	62247153	-1	
2	187510843	187512761	1	
2	74415404	74416783	1	
2	128696184	128779218	1	
2	25204313	25209206	1	LINC01381
2	128734603	128736008	1	
2	95000041	95026757	-1	MAL-AS1
17	62260634	62261936	1	
2	86807521	86895042	1	
17	62282702	62297026	-1	USP32P4
17	62319884	62320189	1	RPL36AP47
17	62343941	62416480	1	EFCAB3
8	47960185	47978165	1	MCM4
11	59208510	59213474	-1	MPEG1
2	128745252	128746430	-1	
2	86809251	86810001	1	
11	46701016	46705912	1	ZNF408
2	60311286	60439841	-1	MIR4432HG
1	1915108	1917296	1	CALML6
18	43267892	43277535	-1	SYT4
11	95089817	95132645	1	ENDOD1
11	6390414	6394998	1	SMPD1
1	111431046	111433068	-1	
1	111437514	111438037	1	UBE2FP3
1	111438638	111441364	-1	
1	111439890	111449256	-1	WDR77
17	62381668	62382015	1	
6	111087503	111231194	1	SLC16A10
17	62383104	62383166	1	RNU7-52P
17	62397397	62398142	1	RPS23P7
2	100792496	100793594	-1	
2	86837464	86838127	1	
18	24162045	24397880	-1	OSBPL1A
2	226314367	226333582	-1	
2	180404905	180406487	1	
2	98242115	98356005	-1	
12	56470945	56488414	-1	GLS2
17	62516321	62516767	-1	
17	62549726	62552121	1	
6	131135467	131283535	1	AKAP7
17	62626031	62626453	1	
17	62627670	62693597	1	MRC2
2	60639646	60645154	-1	
2	36617450	36623706	1	
2	16728068	16769567	1	
2	73447366	73450424	-1	
2	151338954	151379241	-1	
2	36649688	36650205	-1	
2	122987841	122999876	-1	
2	16715694	16730976	-1	
2	28343397	28352303	-1	
1	111446798	111446908	1	Y_RNA
2	6728177	6782637	-1	LINC00487
1	111483348	111563962	-1	TMIGD3
22	29883141	30030868	1	MTMR3
2	199457671	199477035	1	SATB2-AS1
7	2512529	2529177	1	LFNG
9	112683926	112718149	-1	INIP
1	111490317	111490423	-1	RNU6-792P
1	111499429	111503633	-1	ADORA3
2	19901333	19903501	1	TTC32-DT
3	16313574	16514026	-1	RFTN1
1	41361922	41383590	1	FOXO6
2	43020771	43022379	1	
2	29319494	29358220	1	
1	41466937	41467028	-1	RNA5SP45
1	41542069	41544310	1	
6	44809317	45377953	-1	SUPT3H
1	169112164	169112773	-1	
20	2481817	2525028	-1	ZNF343
11	78063861	78068351	1	THRSP
2	234952673	234953881	-1	
1	86914635	87109982	1	HS2ST1
2	199474151	199477500	-1	
2	143835003	143903619	-1	
2	189005283	189009072	-1	
2	143819398	143841445	1	
2	143875047	143877959	1	
11	5225464	5229395	-1	HBB
2	100599166	100611571	1	LINC01849
15	78624111	78727754	-1	CHRNB4
2	71453081	71454470	-1	
2	109068539	109069921	-1	
2	146202856	146413384	-1	
9	132410043	132573319	1	CFAP77
2	69531838	69532268	1	
2	159903868	159906339	1	
2	129579401	129587651	-1	
2	203627037	203694122	1	
2	88857166	88857292	1	
2	27335520	27342599	1	GTF3C2-AS1
X	149476988	149521096	-1	IDS
6	31615217	31617021	1	AIF1
7	47987148	48029119	-1	SUN3
11	66268590	66277492	1	RAB1B
1	86993009	87169204	1	
2	203646415	203673980	1	
1	87044935	87045871	-1	
2	109690640	109720200	1	
1	87045875	87046700	1	
9	136375567	136400176	-1	SNAPC4
17	62661621	62661725	-1	Y_RNA
1	87129765	87169198	1	LINC01140
17	62679403	62681354	-1	
17	62683905	62684010	1	RNU6-446P
17	62789109	62791765	1	
17	44228760	44230228	-1	SHC1P2
2	203674025	203685166	-1	
2	27346021	27346949	-1	
2	229407358	229408330	1	
2	27323140	27323586	1	
17	44248390	44268141	-1	SLC4A1
2	202038425	202117062	-1	KIAA2012-AS1
16	1841020	1843547	-1	
16	1878285	1884233	-1	LINC00254
15	75903876	75942511	1	FBXO22
2	104656012	104857008	-1	PANTR1
16	1911475	1918415	-1	HS3ST6
1	59733227	59733296	-1	MIR4711
1	59754747	59789182	-1	
16	70661667	70665836	1	
1	59974757	59975054	-1	RN7SL475P
16	70713987	70716890	1	
1	228434777	228457873	-1	H2AC25
16	70755035	70773251	1	VAC14-AS1
1	228458103	228463104	1	H2BC26
1	228487382	228499899	1	RNF187
5	73565443	73583380	1	UTP15
16	70768356	70768785	1	
16	70768967	70770221	-1	
16	70778433	70779145	1	
16	70852698	70852814	1	RNU6ATAC25P
16	71113352	71114000	1	
16	10627501	10694930	-1	TEKT5
10	99875577	100009947	-1	DNMBP
HSCHR6_MHC_QBL_CTG1	309791	310818	-1	OR2W1
1	75202129	75611114	-1	SLC44A5
HSCHR6_MHC_QBL_CTG1	4035005	4038991	-1	PSMB8
16	10718633	10719762	-1	MTCYBP33
16	10719833	10720015	1	MTND6P33
16	10720015	10721464	-1	MTND5P33
16	10721698	10723068	-1	MTND4P34
16	10723065	10723355	-1	MTND4LP24
16	10723424	10723766	-1	MTND3P13
9	33290428	33371872	1	NFX1
16	10723836	10724617	-1	MTCO3P24
6	45328157	45664349	1	RUNX2
16	10724620	10725296	-1	MTATP6P24
11	120336238	120489937	1	ARHGEF12
16	10840384	10841544	-1	
16	10864914	10888752	-1	
16	10928891	10942468	-1	DEXI
4	68310387	68350098	-1	YTHDC1
16	10933903	10936280	1	
16	23412380	23416680	1	RN7SKP23
16	23441841	23441921	1	SNORA75
7	106654360	106661158	-1	CCDC71L
16	23446446	23447282	-1	
16	23500905	23501630	1	CCNYL7
7	22812628	22822849	-1	TOMM7
16	23520754	23557731	-1	EARS2
20	50585180	50692021	-1	RIPOR3
7	27170605	27180261	-1	HOXA10
HSCHR6_MHC_QBL_CTG1	2201132	2210014	-1	HCG21
HSCHR6_MHC_QBL_CTG1	752232	753368	-1	MAS1L
HSCHR6_MHC_QBL_CTG1	3391413	3401297	-1	AGPAT1
15	65611366	65660995	1	SLC24A1
7	141074064	141480380	1	TMEM178B
2	202064378	202072280	1	
2	104887829	104929811	-1	
7	142760398	142774564	1	PRSS2
2	202154167	202157742	-1	
2	104853285	104927722	1	
7	21543039	21901839	1	DNAH11
1	32361270	32364278	-1	FAM229A
2	104659337	104685031	1	
1	152106317	152115444	-1	TCHH
1	234978814	234980804	-1	LINC03108
1	234957342	234970062	-1	LNCATV
2	104865401	104874447	-1	LINC01159
14	99684250	99727318	1	CYP46A1
20	32010408	32032185	1	CCM2L
3	185476496	185499057	-1	TMEM41A
1	107140235	107140802	1	
1	147608331	147610187	1	
1	101964793	101967614	-1	
1	183874511	183875729	1	
1	13757778	13758465	1	
10	96364608	96513941	-1	TLL2
1	150887136	150913292	1	CTXND2
1	236060677	236060772	1	Y_RNA
1	236110061	236112370	1	ACO2P2
1	236123667	236130415	1	
1	236267780	236267958	1	RNU2-70P
1	236285976	236286960	-1	
16	23537061	23537556	1	SUB1P4
16	23568673	23569696	1	
1	236214681	236282019	-1	ERO1B
16	23670011	23675499	1	
16	23696665	23697314	-1	
16	1688355	1690536	1	
16	1707252	1707973	1	
16	1734985	1735066	1	MIR3177
16	1751559	1752262	-1	
16	2332313	2332732	-1	
2	120903614	120911783	-1	
2	172274502	172340626	-1	
16	2445392	2445457	1	MIR6767
16	2463967	2464038	1	MIR6768
16	2471297	2474145	1	NTN3
2	104701290	104708138	1	
17	44290856	44291151	-1	RN7SL507P
17	44303965	44304203	1	U3
3	149734667	149752495	-1	COMMD2
17	44307088	44307172	1	RNU6-453P
17	44328613	44331462	1	
16	2476558	2482173	1	
17	44365014	44365751	-1	RPL7L1P5
17	44409059	44409358	-1	RN7SL258P
17	37614931	37615039	-1	MIR378J
17	37649133	37650894	1	
17	37907957	37908063	1	RNU6-489P
16	2496032	2520218	1	
17	37940704	37940790	-1	5S_rRNA
17	28834722	28834822	1	Y_RNA
16	2513965	2527955	1	
17	28848860	28849592	1	
17	28861369	28861440	-1	MIR451A
17	28861371	28861438	1	MIR451B
17	28861533	28861618	-1	MIR144
17	28861655	28861730	-1	MIR4732
17	28892469	28893342	1	
2	74498057	74505091	1	LBX2-AS1
16	2516658	2517999	1	
17	28897738	28899402	1	
16	2530035	2531417	-1	CEMP1
20	51003655	51023244	-1	KCNG1
16	2531922	2532005	-1	MIR3178
16	2554975	2556105	1	
17	28944796	28945394	1	
16	2575628	2577373	-1	
17	74916083	74923256	-1	USH1G
16	2578395	2579963	1	
16	2592514	2594563	1	
16	2620222	2621794	-1	
16	2644084	2645214	-1	
16	15608474	15610563	1	
2	25369136	25376895	-1	ARNILA
16	15611030	15611095	-1	MIR6506
16	15643294	15643372	1	MIR484
16	15683290	15684570	1	
16	15701237	15702118	1	
2	140001059	140002420	1	
16	15726674	15732993	1	
2	172381094	172390319	1	
16	15741151	15741791	1	
17	75031097	75031186	1	RNU6-362P
2	6258348	6341788	-1	
17	75041740	75042015	1	RN7SL573P
16	15790975	15792717	-1	
17	3088484	3104422	-1	OR1D2
16	769119	769443	-1	
16	770183	770277	1	MIR662
16	89561434	89561517	1	SNORD68
6	46549383	46652830	-1	CYP39A1
16	89671568	89685304	1	
16	30896614	30903547	1	CTF1
17	61590421	61591219	-1	NACA2
17	61874084	61874182	-1	Y_RNA
17	58476138	58476950	-1	SETP3
2	104699964	104701731	-1	
17	3311218	3311934	1	
2	172251404	172256090	-1	
16	21983865	22001116	-1	PDZD9
17	3377527	3377602	-1	OR1AC1P
2	104859567	104861233	1	
2	216665114	216667116	1	
17	3397104	3398410	-1	OR1E1
2	172298126	172301009	-1	
17	3432870	3433841	-1	OR1E2
2	104867725	104868894	1	
2	172211485	172213693	-1	
17	3439923	3441844	-1	
2	78088729	78127806	1	
17	3440019	3513852	-1	SPATA22
16	50548396	50649249	1	NKD1
2	104845130	104845736	1	
2	172172451	172173153	1	
2	104852990	104853127	1	
2	45013149	45014605	-1	
1	152758025	152762056	1	KPRP
1	144701050	144701159	-1	RNA5SP59
1	182615254	182616629	1	LINC01686
1	182733792	182734779	1	
2	11105317	11132821	-1	
1	182641816	182684587	-1	RGS8
18	58671426	58754477	1	MALT1
3	112461067	112499668	-1	BTLA
X	19360056	19515508	-1	MAP3K15
HSCHR6_MHC_QBL_CTG1	3548601	3549560	1	HNRNPA1P2
HSCHR6_MHC_QBL_CTG1	2633109	2633706	1	
HSCHR6_MHC_QBL_CTG1	4483726	4492822	1	PFDN6
4	499210	540200	1	PIGG
15	89575469	89631056	1	TICRR
10	50739318	50816495	1	ASAH2B
7	100352176	100367831	1	PILRB
3	138122901	138132390	-1	A4GNT
16	50555355	50558719	1	
16	50712844	50713589	1	
16	50742305	50742377	1	MIR3181
16	50856614	50879278	-1	
16	50869455	50869575	-1	RNA5SP426
16	57603137	57603697	1	HMGB3P32
16	57622034	57631647	-1	
3	121835183	121886526	1	EAF2
16	57681124	57701730	-1	
16	57713782	57714957	1	MTCH2P3
16	57759358	57760024	1	
6	46997708	47042350	-1	ADGRF1
16	57772289	57772352	-1	MIR6772
2	11121639	11124924	1	
16	57830536	57830642	-1	RNU6-20P
16	53386944	53389085	1	
16	53389886	53390563	1	
16	53391089	53392473	1	
2	11130097	11132601	1	
16	53443228	53443332	-1	RNU6-1153P
16	53448748	53449590	1	
2	66123039	66126942	-1	
16	53478957	53481550	-1	
2	54115268	54115935	-1	
16	53487607	53489943	-1	
16	53544339	53545689	-1	
2	108217522	108218517	1	
5	134737608	134752705	1	CAMLG
2	195199676	195205454	-1	
16	53628256	53628816	-1	
16	53981229	53981912	-1	
16	53991012	53994454	1	
2	173532774	173814677	1	
16	53998313	53999969	-1	
20	49936336	49953892	1	RNF114
16	89906157	89918233	1	
16	89919165	89936092	1	
1	162593103	162593754	1	
3	87792704	87993839	1	HTR1F
HSCHR6_MHC_QBL_CTG1	1908201	1928150	-1	DHX16
1	109249539	109275751	1	CELSR2
16	90028908	90029901	-1	GAS8-AS1
3	133932699	134052184	-1	SLCO2A1
5	173607145	173616659	-1	BOD1
16	90105095	90106316	-1	
16	90174062	90175865	-1	CICP25
16	50046496	50047798	1	
10	42574185	42638620	-1	ZNF33B
14	23058561	23095614	-1	ACIN1
16	50054143	50054430	1	Metazoa_SRP
16	50058150	50059231	-1	ACTG1P16
16	50072862	50074986	1	
16	50098264	50098358	1	RNY4P3
16	50120064	50129904	1	
2	173692078	173794379	-1	
16	50151280	50151577	-1	RPL10P14
2	210735165	210767345	1	
2	19990165	20004823	1	WDR35-DT
16	50151642	50151731	-1	SNORA70
16	56858518	56858601	1	MIR138-2
16	56904264	56904353	1	MIR6863
16	56906534	56906956	1	RPS24P17
16	56940278	56941342	1	HERPUD1-IT1
16	56941028	56941726	1	
16	57013071	57014100	-1	CFAP69P1
16	57052505	57058497	-1	
16	57091213	57092303	-1	CPNE2-DT
2	173630812	173660085	-1	
16	57140896	57144586	-1	
2	98048844	98060491	-1	
16	57142652	57144936	1	
2	120229244	120232382	-1	
16	57177349	57181390	1	
2	120229822	120232486	1	
16	57245259	57253635	1	ARL2BP
9	104747683	104760138	1	NIPSNAP3A
2	186032041	186486584	-1	LINC01473
5	132556019	132646349	1	RAD50
10	102503952	102633535	1	SUFU
7	105189190	105189814	1	
7	105204600	105204859	1	
7	105244652	105244970	1	RPL36P12
7	105301522	105302086	1	RWDD4P1
7	105304277	105306642	1	
7	105332790	105332896	1	RNU6-1322P
7	105040848	105040925	1	
7	105040858	105040956	1	
7	102650319	102662625	1	SPDYE2B
16	57245832	57246396	-1	
16	57247350	57248492	1	
16	57321352	57322117	1	RPL23AP91
16	57332379	57332599	-1	
16	67109941	67148544	1	PHAF1
X	118345968	118450285	1	WDR44
9	137062127	137070593	-1	SAPCD2
17	7012417	7014532	1	RNASEK
7	75492320	75504316	1	SPDYE5
15	90966038	90995629	-1	PRC1
7	73075972	73086038	-1	SPDYE9
1	22835713	22836849	-1	
7	73047862	73057911	-1	SPDYE11
1	22863159	22863226	-1	MIR4253
1	22953043	22972866	-1	LACTBL1
7	75280790	75289501	1	SPDYE13
20	33407955	33443885	-1	SNTA1
1	158878746	158883500	1	PYHIN5P
7	75335343	75345396	1	SPDYE15
7	76531313	76543297	-1	SPDYE16
1	158930796	158977059	1	PYHIN1
17	7012635	7017520	1	RNASEK-C17orf49
7	77022306	77032361	-1	SPDYE17
HSCHR6_MHC_QBL_CTG1	986021	987011	-1	
HSCHR6_MHC_QBL_CTG1	4038374	4040783	1	PSMB8-AS1
17	7017615	7017701	-1	MIR195
9	35099606	35103195	-1	STOML2
7	43997897	44010124	1	SPDYE1
17	7017911	7018022	-1	MIR497
17	7036015	7040117	1	SLC16A13
HSCHR6_MHC_QBL_CTG1	4357085	4386902	-1	COL11A2
17	7058934	7059204	1	
17	7192295	7192448	-1	
17	7223297	7223379	-1	MIR324
17	7235029	7239722	-1	PHF23
6	41149167	41155553	-1	TREML1
7	379359	382712	1	
7	29551521	29552151	1	GTF3C6P3
7	29625870	29625983	1	TMSB4XP3
7	29680734	29680828	-1	MIR550A3
7	35169224	35169535	1	S100A11P2
7	35202430	35254100	-1	TBX20
7	35258381	35259729	-1	
7	151012209	151024499	-1	ATG9B
6	44258166	44265788	-1	NFKBIE
3	195514428	195543386	-1	PPP1R2
16	67163385	67165815	1	
2	234404844	234427951	-1	
20	36306302	36528637	1	DLGAP4
1	159081133	159081795	-1	RAD1P2
2	229301067	229301856	1	
1	56823679	56826920	-1	
2	234426156	234427401	1	
2	20650573	20652577	1	
1	22636506	22644067	1	
6	115931149	116061093	-1	FRK
2	201970900	202033503	1	
7	151148009	151174745	-1	GBX1
1	22025142	22092943	1	
16	67202321	67202395	-1	MIR328
16	67205175	67206849	-1	
7	290170	294422	1	FOXL3
1	196582413	196582481	-1	MIR4735
1	40804846	40805141	1	RN7SL326P
16	67227103	67229278	1	TMEM208
1	209623444	209623510	-1	MIR4260
1	209744373	209745214	1	ADORA2BP1
1	209779629	209806179	-1	
7	96858182	96859618	1	MARK2P10
1	42412398	42412794	-1	
7	34892417	34892549	1	
2	197311276	197318884	1	ANKRD44-DT
7	34940760	34940834	-1	MIR548N
1	160216800	160285130	-1	
7	117332761	117350096	-1	
7	117363222	117428123	-1	ASZ1
2	20596467	20597714	1	
2	201970945	202033537	-1	
17	7240427	7244635	-1	
2	201984388	201993094	-1	
17	7242200	7243814	1	
17	7246829	7262089	-1	
2	88503987	88575610	1	EIF2AK3-AS1
17	7266055	7266166	-1	Y_RNA
2	107264158	107264930	1	
2	202029508	202035549	-1	
17	76274049	76308276	-1	QRICH2
2	107263591	107264309	-1	
1	160266340	160267225	-1	RPSAP18
6	24424565	24495205	-1	GPLD1
2	37375270	37384446	-1	
2	76187897	76190337	-1	
1	160326104	160326216	-1	Y_RNA
2	94211933	94258381	1	
1	160367071	160372846	1	NHLH1
2	140178418	140183422	1	
2	36166258	36168735	1	
2	230121370	230174223	1	
1	160392768	160392909	-1	RNU4-42P
1	152984081	152985814	1	SPRR1A
1	86357632	86357687	-1	MIR7856
1	86404176	86404866	-1	RPL7L1P22
19	42302098	42310814	1	PRR19
1	86424171	86456553	1	CLCA2
2	192195042	192203966	1	
3	10816201	10940714	1	SLC6A11
10	68560310	68694586	1	TET1
2	161964910	161979593	-1	
2	9070985	9110357	-1	
8	38030512	38060365	1	EIF4EBP1
16	67261108	67263784	1	
19	50152537	50163281	-1	IZUMO2
2	202818658	202823280	1	
2	114042437	114043378	-1	
16	67289428	67326760	-1	KCTD19
2	9102943	9106341	1	
8	119833944	119855987	-1	DSCC1
2	195213412	195214714	1	
2	9631167	9713301	1	
17	35596904	35597128	-1	
1	86552625	86553342	-1	CDCA4P2
1	235190034	235190116	-1	MIR4753
1	146957117	146957659	-1	PFN1P8
17	35760887	35765079	1	C17orf50
1	147001931	147003618	-1	
1	147050817	147052481	1	
1	147079746	147079870	1	RNU1-151P
1	147082338	147083578	-1	SSBL4P
1	147084616	147084756	-1	RNVU1-8
1	148522601	148522765	1	RNVU1-27
1	148739379	148739479	1	RNU6-1171P
1	148748774	148752415	1	NUDT4B
17	35808489	35808897	-1	
1	148795797	148796325	1	
1	148839483	148839732	-1	RN7SKP88
17	35818399	35823713	1	
1	148939739	148939817	-1	RNU2-38P
17	35861093	35861566	-1	
1	149013782	149014961	1	
1	149162783	149162944	-1	RNVU1-24
17	35889558	35889804	1	7SK
1	149290513	149290762	1	7SK
2	18492194	18514657	-1	
1	15792796	15793285	1	RPL12P14
17	29560547	29567037	-1	ABHD15
1	15828232	15828669	1	
1	21397987	21398362	1	PPP1R11P1
1	21411460	21413293	-1	PDE4DIPP10
1	21415898	21417492	1	
2	3045145	3054428	1	
19	42297023	42303546	-1	PAFAH1B3
1	21424625	21427967	-1	NBPF2P
17	29560547	29707090	1	ABHD15-AS1
10	69571485	69573511	-1	NEUROG3
17	29569580	29570519	1	
1	21428303	21429536	1	HS6ST1P1
17	29591703	29592241	-1	
2	105439702	105442265	-1	
1	21459756	21460082	-1	PFN1P10
17	29621617	29622254	-1	
17	29641611	29641702	-1	RNU6-920P
17	29644796	29645847	-1	
10	7750962	7787994	-1	KIN
7	117439982	117440780	-1	ANKRD49P4
18	5288863	5297053	-1	ZBTB14
17	29716279	29716685	-1	RPL21P123
7	117487737	117487929	1	
7	117560733	117564676	-1	CFTR-AS1
17	29021325	29021640	-1	
2	70888270	70900469	-1	
7	117586207	117586416	-1	
7	117604791	117647415	-1	
3	119294352	119420714	1	ARHGAP31
17	29140483	29155489	1	
1	42463221	42657190	1	CCDC30
7	117710651	117874139	-1	CTTNBP2
15	100602547	100651703	1	ASB7
2	15135898	15142336	-1	
8	30063003	30083208	-1	SARAF
2	70887850	70889989	1	LINC01143
2	28448167	28450214	-1	
2	196123437	196125809	-1	
17	58520250	58544368	-1	SEPTIN4
16	67321658	67321987	-1	RN7SKP118
4	152320544	152536107	-1	FBXW7
2	35509160	35577711	-1	
2	173426521	173433101	1	
16	67326798	67385204	1	LRRC36
2	165794221	165849052	1	
2	82326549	82415983	1	
2	98665275	98669479	1	
2	108367389	108373672	-1	
19	1241746	1244825	1	ATP5F1D
2	149165350	149184570	-1	
2	125472139	125474223	1	
2	149035897	149039493	-1	
2	236133276	236143101	-1	
2	10883874	10914457	-1	
2	123669016	123696007	-1	
2	153311632	153357422	1	LINC01850
3	111292719	111665996	1	CD96
2	42086990	42113712	-1	
20	63639705	63657682	-1	STMN3
2	10847397	10848711	-1	
2	42100977	42102710	1	
2	30986922	30991426	1	
2	212764722	212765595	1	
2	44968556	44973368	-1	
2	118124351	118224018	-1	THORLNC
18	61808067	61895097	-1	RNF152
15	64739886	64775621	-1	RBPMS2
20	6767686	6780251	1	BMP2
HSCHR6_MHC_QBL_CTG1	3682909	3696591	-1	HLA-DRB9
HSCHR6_MHC_QBL_CTG1	3228351	3238792	1	
10	103396626	103446297	1	PDCD11
HSCHR6_MHC_QBL_CTG1	4399046	4401239	1	HSD17B8
2	191321199	191322481	-1	
2	20225256	20227421	1	
2	20225531	20225927	-1	
2	235177896	235188191	1	
20	3249306	3407940	-1	DNAAF9
11	113687543	113706382	-1	TMPRSS5
2	217261531	217279358	-1	
2	238788399	238789741	-1	
5	135476913	135889770	1	SLC25A48
2	217412480	217413097	1	
2	224154607	224210457	-1	
2	73173298	73175828	-1	
2	225093518	225109796	-1	
2	2398860	2401196	1	
8	74320613	74518007	1	GDAP1
2	187791741	187834220	-1	
19	44777845	44802291	1	CBLC
2	224210383	224219682	1	
2	107085862	107088295	-1	
2	85015876	85067347	-1	LINC01964
HSCHR6_MHC_QBL_CTG1	4270558	4281835	1	HLA-DPB1
2	91586931	91660038	-1	LSP1P5
18	670318	712722	-1	ENOSF1
15	50182196	50236445	1	SLC27A2
7	117882859	117883675	1	
16	67390691	67390850	-1	RNU1-123P
7	151232483	151240979	1	CHPF2
16	67430667	67431464	-1	
16	16094192	16095209	-1	RPL17P40
X	19343893	19361718	1	PDHA1
16	16260866	16261235	-1	
16	16290135	16292242	-1	
16	16300159	16300242	1	MIR3179-2
16	16306370	16306434	1	MIR3670-2
16	16308542	16310000	-1	
16	16309879	16309966	1	MIR3180-2
16	16314112	16314211	-1	Y_RNA
16	16324588	16324654	1	MIR6511A2
16	16329305	16329364	1	MIR6770-2
16	16351545	16351653	-1	
16	16368876	16368942	1	MIR6511A3
16	69240549	69241929	1	
16	69299682	69322700	1	
12	32727490	32755906	-1	YARS2
9	113410054	113429690	1	C9orf43
16	69320140	69339583	-1	COG8
2	131536118	131538372	1	
2	133952925	134031290	-1	
7	149422675	149424890	1	
12	27780000	27803040	1	KLHL42
7	128709061	128731743	1	GARIN1B
2	134028080	134032597	1	
2	169069291	169111111	-1	
8	141207166	141308318	-1	SLC45A4
4	6575174	6623362	1	MAN2B2
16	69326913	69330588	-1	PDF
5	612330	667168	1	CEP72
2	4024283	4025763	1	
2	11394370	11426428	-1	
2	84907333	84969580	1	
16	69328644	69334871	-1	
6	150368892	150405969	1	IYD
16	69335091	69356306	-1	
12	100356842	100422055	1	SLC17A8
16	69335276	69351730	-1	
2	131279290	131299819	1	
16	69443240	69444290	-1	
16	69463844	69466264	1	
16	69565808	69565868	-1	MIR1538
16	69632141	69632571	1	
16	89113175	89115279	-1	
16	89159146	89164245	1	LINC00304
16	1148224	1148754	-1	
16	1156976	1157974	-1	
16	1159548	1160176	-1	LNCPTCTS
2	84889234	84903570	1	
2	149286935	149290196	1	
16	1206560	1207124	-1	
16	1317891	1322845	-1	
16	1329078	1329777	1	RPS20P2
16	1358900	1361405	-1	
2	103449770	103480535	-1	
